,YEAR,POPULATION,Freshwater use
0,1960,3014128062,1751856694173.0
1,1961,3054753660,1765317094855.0
2,1962,3107308195,1836014016143.0
3,1963,3171989892,1919424571799.0
4,1964,3237058232,1946670963025.0
5,1965,3303529641,2094529301420.0
6,1966,3373122995,2155354004443.0
7,1967,3442370835,2133103824801.0
8,1968,3512364479,2349150276457.0
9,1969,3586501116,2358734737509.0
10,1970,3661368427,2362057426681.0
11,1971,3738583293,2435749010145.0
12,1972,3814619798,2547232873087.0
13,1973,3889752128,2606315331685.0
14,1974,3965566149,2724754347202.0
15,1975,4039627115,2638242268253.0
16,1976,4111803558,2739688119549.0
17,1977,4183778499,2790536167979.0
18,1978,4256974263,2991132085753.0
19,1979,4332042091,3110120552704.0
20,1980,4407859789,3073437838693.0
21,1981,4485702934,3053974246703.0
22,1982,4566547020,3067192207543.0
23,1983,4648145439,3033538895562.0
24,1984,4729495858,3115820776136.0
25,1985,4812379472,3128754701301.0
26,1986,4897789599,3233087696664.0
27,1987,4985380463,3271390124759.0
28,1988,5073885909,3338411792004.0
29,1989,5162360562,3369048487620.0
30,1990,5259797707,3321357298152.0
31,1991,5347562095,3417687603175.0
32,1992,5431664591,3319438058851.0
33,1993,5516637714,3358249157599.0
34,1994,5600709912,3464070203270.0
35,1995,5685431051,3420212914562.0
36,1996,5768199760,3338874861936.0
37,1997,5850654210,3441859120538.0
38,1998,5932171752,3495761711662.0
39,1999,6012483887,3651048141907.0
40,2000,6092160007,3785948890323.0
41,2001,6171332251,3861642393124.0
42,2002,6250295486,3806857575151.0
43,2003,6329328108,3723071436326.0
44,2004,6408911394,3852973536488.0
45,2005,6489025808,3827437377208.0
46,2006,6569919906,3992199319449.0
47,2007,6651301761,4003664798444.0
48,2008,6733923642,3948326264862.0
49,2009,6816504939,4072946984929.0
50,2010,6898733233,3871886184482.0
0,2011,6979680127,4207442151750.651
1,2012,7059251562,4250832411529.8735
2,2013,7143014479,4296508284140.383
3,2014,7227524892,4342591765908.927
4,2015,7312160580,4388743560066.129
5,2016,7397397568,4435223242782.904
6,2017,7482100344,4481411619989.64
7,2018,7546629348,4516599250410.713
8,2019,7646445824,4571029119922.135
9,2020,7646445824,4571029119922.135
10,2021,7746445824,4625559064969.904
11,2022,7846445824,4680089010017.676
12,2023,7946445824,4734618955065.445
13,2024,8046445824,4789148900113.216
14,2025,8146445824,4843678845160.986
15,2026,8246445824,4898208790208.756
16,2027,8346445824,4952738735256.527
17,2028,8446445824,5007268680304.297
18,2029,8546445824,5061798625352.068
19,2030,8646445824,5116328570399.838
20,2031,8746445824,5170858515447.609
21,2032,8846445824,5225388460495.379
22,2033,8946445824,5279918405543.15
23,2034,9046445824,5334448350590.92
24,2035,9146445824,5388978295638.691
25,2036,9246445824,5443508240686.461
26,2037,9346445824,5498038185734.23
27,2038,9446445824,5552568130782.002
28,2039,9546445824,5607098075829.771
29,2040,9646445824,5661628020877.543
30,2041,9746445824,5716157965925.3125
31,2042,9846445824,5770687910973.084
32,2043,9946445824,5825217856020.854
33,2044,10046445824,5879747801068.625
34,2045,10146445824,5934277746116.395
35,2046,10246445824,5988807691164.164
36,2047,10346445824,6043337636211.936
37,2048,10446445824,6097867581259.705
38,2049,10546445824,6152397526307.477
39,2050,10646445824,6206927471355.246
